  0%|                                                                          | 0/34883 [00:00<?, ?it/s]/home/melaichouni/miniconda3/envs/llava/lib/python3.10/site-packages/torch/utils/checkpoint.py:87: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
                                                                                                         
{'loss': 26.5946, 'grad_norm': 3257304.25, 'learning_rate': 0.00016112702960840495, 'epoch': 0.0}
{'loss': 27.7116, 'grad_norm': 11972530.0, 'learning_rate': 0.00016246418338108882, 'epoch': 0.0}
{'loss': 27.3013, 'grad_norm': 12984447.0, 'learning_rate': 0.0001638013371537727, 'epoch': 0.0}
{'loss': 27.4165, 'grad_norm': 9950847.0, 'learning_rate': 0.00016513849092645655, 'epoch': 0.0}
{'loss': 26.7974, 'grad_norm': 94855592.0, 'learning_rate': 0.0001664756446991404, 'epoch': 0.0}
{'loss': 27.7341, 'grad_norm': 94657696.0, 'learning_rate': 0.00016781279847182426, 'epoch': 0.0}
{'loss': 27.3783, 'grad_norm': 2293568.0, 'learning_rate': 0.0001691499522445081, 'epoch': 0.0}
{'loss': 27.4317, 'grad_norm': 11093248.0, 'learning_rate': 0.000170487106017192, 'epoch': 0.0}
{'loss': 27.144, 'grad_norm': 9204717.0, 'learning_rate': 0.00017182425978987584, 'epoch': 0.0}
{'loss': 26.7245, 'grad_norm': 1464089.5, 'learning_rate': 0.00017316141356255968, 'epoch': 0.0}
{'loss': 26.952, 'grad_norm': 11139260.0, 'learning_rate': 0.00017449856733524354, 'epoch': 0.0}
{'loss': 26.6279, 'grad_norm': 6430516.5, 'learning_rate': 0.0001758357211079274, 'epoch': 0.0}
{'loss': 27.6833, 'grad_norm': 7211639.0, 'learning_rate': 0.00017717287488061125, 'epoch': 0.0}
{'loss': 27.1013, 'grad_norm': 16229241.0, 'learning_rate': 0.00017851002865329512, 'epoch': 0.0}
{'loss': 27.7763, 'grad_norm': 73384680.0, 'learning_rate': 0.000179847182425979, 'epoch': 0.0}
{'loss': 28.0773, 'grad_norm': 9270558.0, 'learning_rate': 0.00018118433619866285, 'epoch': 0.0}
{'loss': 27.1044, 'grad_norm': 28027398.0, 'learning_rate': 0.0001825214899713467, 'epoch': 0.0}
{'loss': 27.1421, 'grad_norm': 66642516.0, 'learning_rate': 0.00018385864374403056, 'epoch': 0.0}
{'loss': 26.5575, 'grad_norm': 6380855.0, 'learning_rate': 0.00018519579751671443, 'epoch': 0.0}
{'loss': 27.0075, 'grad_norm': 5080343.0, 'learning_rate': 0.0001865329512893983, 'epoch': 0.0}
{'loss': 26.5802, 'grad_norm': 3253091.75, 'learning_rate': 0.00018787010506208214, 'epoch': 0.0}
{'loss': 27.1747, 'grad_norm': 10703473.0, 'learning_rate': 0.000189207258834766, 'epoch': 0.0}
{'loss': 26.9499, 'grad_norm': 10209517.0, 'learning_rate': 0.00019054441260744987, 'epoch': 0.0}
{'loss': 27.0812, 'grad_norm': 1500645.125, 'learning_rate': 0.00019188156638013374, 'epoch': 0.0}
{'loss': 26.8793, 'grad_norm': 48086952.0, 'learning_rate': 0.00019321872015281755, 'epoch': 0.0}
{'loss': 27.3234, 'grad_norm': 1543709.0, 'learning_rate': 0.00019455587392550142, 'epoch': 0.0}
{'loss': 28.628, 'grad_norm': 6945772.0, 'learning_rate': 0.0001958930276981853, 'epoch': 0.0}
{'loss': 27.5766, 'grad_norm': 5633240.5, 'learning_rate': 0.00019723018147086913, 'epoch': 0.0}
{'loss': 26.4264, 'grad_norm': 12327301.0, 'learning_rate': 0.000198567335243553, 'epoch': 0.0}
{'loss': 27.419, 'grad_norm': 5865527.5, 'learning_rate': 0.00019990448901623686, 'epoch': 0.0}
{'loss': 27.2812, 'grad_norm': 6069526.0, 'learning_rate': 0.00020124164278892073, 'epoch': 0.0}
{'loss': 27.0736, 'grad_norm': 21426968.0, 'learning_rate': 0.00020257879656160457, 'epoch': 0.0}
{'loss': 26.7421, 'grad_norm': 2998892.25, 'learning_rate': 0.00020391595033428844, 'epoch': 0.0}
{'loss': 27.9248, 'grad_norm': 6596714.0, 'learning_rate': 0.0002052531041069723, 'epoch': 0.0}
{'loss': 26.3874, 'grad_norm': 28629604.0, 'learning_rate': 0.00020659025787965617, 'epoch': 0.0}
{'loss': 26.9513, 'grad_norm': 14766271.0, 'learning_rate': 0.00020792741165234, 'epoch': 0.0}
{'loss': 27.0322, 'grad_norm': 7224553.5, 'learning_rate': 0.00020926456542502388, 'epoch': 0.0}
{'loss': 26.9943, 'grad_norm': 5224266.5, 'learning_rate': 0.00021060171919770775, 'epoch': 0.0}
