  0%|                                                                          | 0/34883 [00:00<?, ?it/s]/home/melaichouni/miniconda3/envs/llava/lib/python3.10/site-packages/torch/utils/checkpoint.py:87: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
                                                                                                         
{'loss': 20.3211, 'grad_norm': 4392562.5, 'learning_rate': 9.454273637074674e-06, 'epoch': 0.18}
{'loss': 19.8233, 'grad_norm': 7887374.0, 'learning_rate': 9.454062719901624e-06, 'epoch': 0.18}
{'loss': 19.4896, 'grad_norm': 6589915.5, 'learning_rate': 9.45385176433151e-06, 'epoch': 0.18}
{'loss': 19.7103, 'grad_norm': 7269144.5, 'learning_rate': 9.453640770366149e-06, 'epoch': 0.18}
{'loss': 20.1043, 'grad_norm': 149258000.0, 'learning_rate': 9.453429738007358e-06, 'epoch': 0.18}
{'loss': 20.4404, 'grad_norm': 5466553.0, 'learning_rate': 9.453218667256959e-06, 'epoch': 0.18}
{'loss': 20.7319, 'grad_norm': 22774842.0, 'learning_rate': 9.45300755811677e-06, 'epoch': 0.18}
{'loss': 21.347, 'grad_norm': 4584037.5, 'learning_rate': 9.45279641058861e-06, 'epoch': 0.18}
{'loss': 19.5768, 'grad_norm': 11621477.0, 'learning_rate': 9.452585224674302e-06, 'epoch': 0.18}
{'loss': 20.7432, 'grad_norm': 71503744.0, 'learning_rate': 9.452374000375664e-06, 'epoch': 0.18}
{'loss': 19.5082, 'grad_norm': 7982134.5, 'learning_rate': 9.45216273769452e-06, 'epoch': 0.18}
{'loss': 20.8902, 'grad_norm': 12674213.0, 'learning_rate': 9.451951436632685e-06, 'epoch': 0.18}
{'loss': 19.9238, 'grad_norm': 57469692.0, 'learning_rate': 9.451740097191988e-06, 'epoch': 0.18}
{'loss': 20.1872, 'grad_norm': 4787714.0, 'learning_rate': 9.451528719374246e-06, 'epoch': 0.18}
{'loss': 20.975, 'grad_norm': 47618240.0, 'learning_rate': 9.451317303181283e-06, 'epoch': 0.18}
{'loss': 20.465, 'grad_norm': 3694928.5, 'learning_rate': 9.451105848614922e-06, 'epoch': 0.18}
{'loss': 20.832, 'grad_norm': 7132420.0, 'learning_rate': 9.450894355676985e-06, 'epoch': 0.18}
{'loss': 20.881, 'grad_norm': 12013928.0, 'learning_rate': 9.450682824369295e-06, 'epoch': 0.18}
{'loss': 20.0618, 'grad_norm': 10670934.0, 'learning_rate': 9.450471254693676e-06, 'epoch': 0.18}
{'loss': 19.9177, 'grad_norm': 14080730.0, 'learning_rate': 9.450259646651951e-06, 'epoch': 0.18}
{'loss': 20.7565, 'grad_norm': 8709273.0, 'learning_rate': 9.450048000245947e-06, 'epoch': 0.18}
{'loss': 19.965, 'grad_norm': 3714123.0, 'learning_rate': 9.449836315477485e-06, 'epoch': 0.18}
